,School,Students,District
225,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Strawberry Hill an ext. of Rogers International
200 Strawberry Hill Avenue, Stamford, CT, 06902  Homes for sale",350.0,Stamford School District
226,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Rogers International School
83 Lockwood Ave, Stamford, CT, 06902  Homes for sale",811.0,Stamford School District
227,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Brien Mcmahon High School
300 Highland Ave, Norwalk, CT, 06854  Homes for sale",1526.0,Norwalk School District
228,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Simsbury High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut34 Farms Village Road, Simsbury, CT, 06070  Homes for sale",1380.0,Simsbury School District
229,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Learning Academy at Bloomfield
20 Sargeant Street, Hartford, CT, 06105  Homes for sale",14.0,Bloomfield School District
230,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Sage Park Middle School
25 Sage Park Road, Windsor, CT, 06095  Homes for sale",701.0,Windsor School District
231,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Vinal Technical High School
60 Daniels Street, Middletown, CT, 06457  Homes for sale",440.0,Connecticut Technical High School
232,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
John F. Kennedy Middle School
155 Raffia Road, Enfield, CT, 06082  Homes for sale",1100.0,Enfield School District
233,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Squadron Line School
44 Squadron Line Road, Simsbury, CT, 06070  Homes for sale",615.0,Simsbury School District
234,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Peck Place School
500 Peck Lane, Orange, CT, 06477  Homes for sale",337.0,Orange School District
235,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Read School
130 Ezra Street, Bridgeport, CT, 06606  Homes for sale",905.0,Bridgeport School District
236,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bethlehem Elementary School
92 East Street, Bethlehem, CT, 06751  Homes for sale",267.0,Region 14
237,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Chapman School
38 Country Club Road, Cheshire, CT, 06410  Homes for sale",313.0,Cheshire School District
238,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Wilcoxson School
600 Wilcoxson Avenue, Stratford, CT, 06614  Homes for sale",363.0,Stratford School District
239,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Irving A. Robbins Middle School
20 Wolf Pit Road, Farmington, CT, 06032  Homes for sale",671.0,Farmington School District
240,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Elmer Thienes-Mary Hall Elementary School
25 School Drive, Marlborough, CT, 06447  Homes for sale",491.0,Marlborough School District
241,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Shepherd Glen School
1 Skiff Street Extension, Hamden, CT, 06514  Homes for sale",302.0,Hamden School District
242,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Meeting House Hill School
24 Gillotti Road, New Fairfield, CT, 06812  Homes for sale",459.0,New Fairfield School District
243,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Shepaug Valley School
159 South Street, Washington, CT, 06793  Homes for sale",423.0,Region 12
244,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Brookfield High School
1 awardAwards & BadgesCollege Success Award2019See all winners in Connecticut45 Long Meadow Hill Road, Brookfield, CT, 06804  Homes for sale",862.0,Brookfield School District
245,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Live Oaks School
575 Merwin Avenue, Milford, CT, 06460  Homes for sale",314.0,Milford School District
246,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Woodstock Middle School
147b Connecticut 169, Woodstock, CT, 06281  Homes for sale",404.0,Woodstock School District
247,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Philip R. Smith School
949 Avery Street, South Windsor, CT, 06074  Homes for sale",379.0,South Windsor School District
248,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
University Of Hartford Multiple Intelligences Magn
196 Bloomfield Avenue, West Hartford, CT, 06117  Homes for sale",457.0,Capitol Region Education Coun
249,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Litchfield Middle School
14 Plumb Hill Road, Litchfield, CT, 06759  Homes for sale",146.0,Litchfield School District
250,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Americas Choice At Sand
1750 Main Street, Hartford, CT, 06120  Homes for sale",358.0,Hartford School District
251,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Western Middle School
1 Western Junior Highway, Greenwich, CT, 06830  Homes for sale",585.0,Greenwich School District
252,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Brownstone Intermediate School
314 Main Street, Portland, CT, 06480  Homes for sale",201.0,Portland School District
253,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Greater Hartford Academy Of  The Arts - Full Time
15 Vernon Street, Hartford, CT, 06106  Homes for sale",446.0,Capitol Region Education Coun
254,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Canton High School
1 awardAwards & BadgesCollege Success Award2020See all winners in Connecticut76 Simonds Avenue, Canton, CT, 06019  Homes for sale",498.0,Canton School District
255,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bunker Hill School
170 Bunker Hill Avenue, Waterbury, CT, 06708  Homes for sale",448.0,Waterbury School District
256,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Pumpkin Delight School
27 Art Street, Milford, CT, 06460  Homes for sale",268.0,Milford School District
257,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Berlin High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut139 Patterson Way, Berlin, CT, 06037  Homes for sale",904.0,Berlin School District
258,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ellington High School
37 Maple Street, Ellington, CT, 06029  Homes for sale",770.0,Ellington School District
259,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Dunbar School
445 Union Avenue, Bridgeport, CT, 06607  Homes for sale",404.0,Bridgeport School District
260,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Two Rivers Middle Magnet School
337 East River Drive, East Hartford, CT, 06108  Homes for sale",663.0,Capitol Region Education Coun
261,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bulkeley High School Upper School
300 Wethersfield Avenue, Hartford, CT, 06114  Homes for sale",631.0,Hartford School District
262,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Killingworth Elementary School
340 Connecticut 81, Haddam, CT, 06441  Homes for sale",257.0,Region 17
263,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mystic Middle School
204 Mistuxet Avenue, Stonington, CT, 06355  Homes for sale",357.0,Stonington School District
264,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hawley Elementary School
29 Church Hill Road, Newtown, CT, 06470  Homes for sale",302.0,Newtown School District
265,"Currently unrated GreatSchools’ Summary Rating provides an overall snapshot of school quality. 
For some schools, we do not have enough data from state or national education agencies to provide a rating.
Hurlbutt Elementary School
9 School Road, Weston, CT, 06883  Homes for sale",429.0,Weston School District
266,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Dr. Helen Baldwin Middle School
45 Westminster Road, Canterbury, CT, 06331  Homes for sale",173.0,Canterbury School District
267,"Currently unrated GreatSchools’ Summary Rating provides an overall snapshot of school quality. 
For some schools, we do not have enough data from state or national education agencies to provide a rating.
Clarence E. Thompson School
165 Richards St, West Haven, CT, 06516  Homes for sale",,West Haven School District
268,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Irving School
9 Garden Place, Derby, CT, 06418  Homes for sale",328.0,Derby School District
269,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bunnell High School
1 awardAwards & BadgesCollege Success Award2020See all winners in Connecticut1 Bulldog Boulevard, Stratford, CT, 06614  Homes for sale",1045.0,Stratford School District
270,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Casimir Pulaski School
100 Clearview Avenue, Meriden, CT, 06450  Homes for sale",519.0,Meriden School District
271,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Nathan Hale School
277 Atkins Street Extension, Meriden, CT, 06450  Homes for sale",607.0,Meriden School District
272,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Northeast Middle School
530 Stevens Street, Bristol, CT, 06010  Homes for sale",463.0,Bristol School District
273,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Lincoln Middle School
164 Centennial Avenue, Meriden, CT, 06451  Homes for sale",690.0,Meriden School District
274,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Stillmeadow School
800 Stillwater Rd, Stamford, CT, 06906  Homes for sale",654.0,Stamford School District
275,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Metropolitan Learning Center
1551 Blue Hills Avenue, Bloomfield, CT, 06002  Homes for sale",653.0,Capitol Region Education Coun
276,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ib Global Communications Academy
85 Edwards Street, Hartford, CT, 06120  Homes for sale",629.0,Hartford School District
277,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Latimer Lane School
33 Mountain View Drive, Simsbury, CT, 06089  Homes for sale",408.0,Simsbury School District
278,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
South End School
10 Maxwell Noble Drive, Southington, CT, 06479  Homes for sale",229.0,Southington School District
279,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Montessori Magnet School
1460 Broad Street, Hartford, CT, 06106  Homes for sale",350.0,Capitol Region Education Coun
280,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
East Granby High School
95 South Main Street, East Granby, CT, 06026  Homes for sale",253.0,East Granby School District
281,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Alfred W. Hanmer School
50 Francis Street, Wethersfield, CT, 06109  Homes for sale",339.0,Wethersfield School District
282,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Memorial Middle School
1 Memorial Dr, Middlebury, CT, 06762  Homes for sale",439.0,Region 15
283,"Currently unrated GreatSchools’ Summary Rating provides an overall snapshot of school quality. 
For some schools, we do not have enough data from state or national education agencies to provide a rating.
Birch Grove Primary School
247 Rhodes Road, Tolland, CT, 06084  Homes for sale",468.0,Tolland School District
284,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Samuel Huntington School
80 West Town Street, Norwich, CT, 06360  Homes for sale",351.0,Norwich School District
285,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Woodbury Middle School
67 Washington Avenue, Woodbury, CT, 06798  Homes for sale",358.0,Region 14
286,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Lyme-Old Lyme High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut69 Lyme Street, Old Lyme, CT, 06371  Homes for sale",473.0,Region 18
287,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Rowayton School
1 Roton Avenue, Rowayton, CT, 06850  Homes for sale",463.0,Norwalk School District
288,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Capitol Community College Magnet Academy
950 Main Street, Hartford, CT, 06103  Homes for sale",33.0,Hartford School District
289,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Noah Wallace School
2 School Street, Farmington, CT, 06032  Homes for sale",378.0,Farmington School District
290,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Windermere School
2 Abbott Road, Ellington, CT, 06029  Homes for sale",711.0,Ellington School District
291,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Highcrest School
95 Highcrest Road, Wethersfield, CT, 06109  Homes for sale",444.0,Wethersfield School District
292,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Stratford High School
45 North Parade Street, Stratford, CT, 06615  Homes for sale",958.0,Stratford School District
293,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Newtown Middle School
11 Queen Street, Newtown, CT, 06470  Homes for sale",712.0,Newtown School District
294,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
J. Milton Jeffrey Elementary School
331 Copse Road, Madison, CT, 06443  Homes for sale",355.0,Madison School District
295,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Daniel Hand High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut286 Green Hill Road, Madison, CT, 06443  Homes for sale",1128.0,Madison School District
296,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Early Childhood Center at Harbor
432 Montauk Avenue, New London, CT, 06320  Homes for sale",270.0,New London School District
297,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hillside Intermediate School
51 Hillside Avenue, Naugatuck, CT, 06770  Homes for sale",308.0,Naugatuck School District
298,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Center School
12 Old Farms Road, Willington, CT, 06279  Homes for sale",236.0,Willington School District
299,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Julian Curtiss School
180 East Elm Street, Greenwich, CT, 06830  Homes for sale",338.0,Greenwich School District
300,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Guilford Lakes School
40 Maupas Road, Guilford, CT, 06437  Homes for sale",295.0,Guilford School District
301,"Currently unrated GreatSchools’ Summary Rating provides an overall snapshot of school quality. 
For some schools, we do not have enough data from state or national education agencies to provide a rating.
Miller-Driscoll School
217 Wolfpit Road, Wilton, CT, 06897  Homes for sale",775.0,Wilton School District
302,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Franklin School
1895 Barnum Avenue, Stratford, CT, 06615  Homes for sale",298.0,Stratford School District
303,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
North Street School
381 North Street, Greenwich, CT, 06830  Homes for sale",410.0,Greenwich School District
304,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Diloreto Magnet School
732 Slater Road, New Britain, CT, 06053  Homes for sale",815.0,New Britain School District
305,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mansfield Middle School School
205 Spring Hill Road, Mansfield, CT, 06268  Homes for sale",546.0,Mansfield School District
306,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Roxbury School
751 Westhill Rd, Stamford, CT, 06902  Homes for sale",592.0,Stamford School District
307,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Farm Hill School
390 Ridge Road, Middletown, CT, 06457  Homes for sale",324.0,Middletown School District
308,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Lyme-Old Lyme Middle School
53 Lyme Street, Old Lyme, CT, 06371  Homes for sale",302.0,Region 18
309,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Jumoke Academy
834 Asylum Avenue, Hartford, CT, 06105  Homes for sale",753.0,Jumoke Academy District
310,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Rippowam Middle School
381 High Ridge Rd, Stamford, CT, 06905  Homes for sale",727.0,Stamford School District
311,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Joseph A. Depaolo Middle School
385 Pleasant Street, Southington, CT, 06489  Homes for sale",765.0,Southington School District
