,district,district-href,english,math,ap_math,ap_sci,ap_other,low_income_perc,students_per_teacher,teachers_3yr,teacher_salary,rev_per_student,spend_per_student,spend_instruction,students,college,ap_total,local_rev
150,Colchester School District,https://www.greatschools.org/connecticut/colchester/colchester-school-district/,70%,70%,10%,8%,27%,16%,14.0,93%,"$80,033","$19,170","$17,380",56%,"2,437",77%,30%,56%
151,Elm City Montessori School District,https://www.greatschools.org/connecticut/new-haven/elm-city-montessori-school-di/,36%,22%,,,,38%,19.0,100%,,"$11,044","$21,062",23%,170,22%,,34%
152,Charter School For Young Chil,https://www.greatschools.org/connecticut/hartford/charter-school-for-young-chil/,,,,,,,,,,,,,225,,,
153,Wethersfield School District,https://www.greatschools.org/connecticut/wethersfield/wethersfield-school-district/,58%,58%,3%,7%,11%,19%,16.0,85%,"$82,629","$22,344","$17,990",51%,"3,575",79%,23%,66%
154,Brass City Charter School District,https://www.greatschools.org/connecticut/waterbury/brass-city-charter-school-dis/,50%,50%,,,,65%,11.0,42%,"$53,037","$13,258","$13,661",49%,254,50%,,9%
155,Region 15,https://www.greatschools.org/connecticut/middlebury/regional-school-district-15/,71%,71%,5%,9%,22%,6%,11.0,89%,"$66,157","$20,861","$19,057",56%,"3,607",82%,32%,80%
156,Madison School District,https://www.greatschools.org/connecticut/madison/madison-school-district/,67%,67%,7%,12%,3%,4%,14.0,94%,"$74,947","$21,456","$19,429",55%,"2,814",88%,33%,84%
157,Griswold School District,https://www.greatschools.org/connecticut/griswold/griswold-school-district/,54%,55%,2%,3%,11%,39%,12.0,88%,"$51,609","$18,032","$16,244",60%,"1,768",65%,14%,36%
158,South Windsor School District,https://www.greatschools.org/connecticut/south-windsor/south-windsor-school-district/,75%,71%,2%,4%,19%,13%,12.0,86%,"$82,159","$21,805","$19,709",54%,"4,233",85%,25%,69%
159,Achievement First Hartford Ac,https://www.greatschools.org/connecticut/hartford/achievement-first-hartford-ac/,53%,53%,19%,60%,,100%,11.0,83%,"$54,148","$13,711","$14,055",47%,"1,149",77%,65%,11%
160,Bethel School District,https://www.greatschools.org/connecticut/bethel/bethel-school-district/,67%,59%,9%,17%,,20%,12.0,89%,"$71,690","$19,346","$18,116",57%,"3,047",75%,26%,71%
161,Stratford School District,https://www.greatschools.org/connecticut/stratford/stratford-school-district/,48%,36%,7%,8%,14%,46%,13.0,87%,"$56,144","$19,979","$17,460",55%,"6,787",71%,20%,65%
162,Hebron School District,https://www.greatschools.org/connecticut/hebron/hebron-school-district/,64%,64%,,,,9%,11.0,100%,,"$20,008","$18,530",63%,701,64%,,36%
163,Newington School District,https://www.greatschools.org/connecticut/newington/newington-school-district/,53%,53%,5%,7%,16%,22%,12.0,92%,"$67,670","$20,807","$19,346",55%,"4,053",75%,25%,69%
164,Ridgefield School District,https://www.greatschools.org/connecticut/ridgefield/ridgefield-school-district/,84%,78%,9%,17%,33%,2%,12.0,98%,"$74,404","$20,965","$19,554",58%,"4,908",91%,32%,84%
165,Wallingford School District,https://www.greatschools.org/connecticut/wallingford/wallingford-school-district/,43%,43%,9%,6%,21%,22%,12.0,99%,"$51,914","$21,818","$19,449",53%,"5,824",74%,27%,66%
166,Windham School District,https://www.greatschools.org/connecticut/windham/windham-school-district/,37%,32%,5%,12%,17%,76%,10.0,78%,"$59,975","$22,672","$20,668",54%,"3,323",39%,18%,30%
167,Stonington School District,https://www.greatschools.org/connecticut/stonington/stonington-school-district/,66%,66%,4%,5%,12%,20%,11.0,99%,"$66,168","$21,150","$18,618",51%,"2,072",78%,23%,81%
168,Lebanon School District,https://www.greatschools.org/connecticut/lebanon/lebanon-school-district/,54%,54%,10%,2%,9%,20%,10.0,91%,"$70,629","$21,848","$18,950",50%,"1,004",63%,18%,60%
169,Side By Side Community School,https://www.greatschools.org/connecticut/norwalk/side-by-side-community-school/,51%,51%,,,,49%,15.0,100%,,"$13,593","$12,504",41%,235,51%,,0%
170,Litchfield School District,https://www.greatschools.org/connecticut/litchfield/litchfield-school-district/,71%,71%,2%,13%,18%,11%,10.0,94%,"$76,995","$24,650","$21,308",51%,912,75%,24%,80%
171,West Haven School District,https://www.greatschools.org/connecticut/west-haven/west-haven-school-district/,42%,42%,6%,9%,,65%,11.0,92%,"$49,873","$21,030","$18,017",51%,"5,758",66%,12%,39%
172,Eastern Connecticut Regional,https://www.greatschools.org/connecticut/hampton/eastern-connecticut-regional/,,,<1%,<1%,,31%,8.0,71%,"$67,587",,,,425,57%,2%,
173,Bristol School District,https://www.greatschools.org/connecticut/bristol/bristol-school-district/,48%,38%,5%,13%,18%,43%,13.0,88%,"$57,663","$17,727","$15,892",55%,"7,884",64%,37%,47%
174,Killingly School District,https://www.greatschools.org/connecticut/killingly/killingly-school-district/,42%,42%,7%,2%,9%,37%,12.0,91%,"$60,749","$21,109","$17,391",46%,"2,491",58%,12%,48%
175,Enfield School District,https://www.greatschools.org/connecticut/enfield/enfield-school-district/,50%,40%,2%,9%,9%,36%,12.0,92%,"$69,214","$24,459","$16,649",46%,"5,181",64%,18%,37%
176,Hamden School District,https://www.greatschools.org/connecticut/hamden/hamden-school-district/,49%,45%,4%,12%,19%,38%,10.0,96%,"$59,251","$26,069","$22,980",57%,"5,362",77%,26%,66%
177,Willington School District,https://www.greatschools.org/connecticut/willington/willington-school-district/,56%,56%,,,,24%,12.0,89%,"$62,236","$22,263","$21,475",57%,438,56%,,47%
178,Lisbon School District,https://www.greatschools.org/connecticut/lisbon/lisbon-school-district/,43%,43%,,,,23%,10.0,100%,"$73,391","$29,778","$19,894",42%,390,43%,,52%
179,Great Oaks Charter School Bri,https://www.greatschools.org/connecticut/bridgeport/great-oaks-charter-school-bri/,20%,12%,,,,87%,21.0,36%,,"$17,363","$15,504",28%,400,12%,<1%,8%
180,Bridgeport Achievement First,https://www.greatschools.org/connecticut/bridgeport/bridgeport-achievement-first/,53%,53%,12%,51%,,98%,13.0,80%,"$47,947","$10,869","$10,482",44%,"1,062",89%,59%,2%
181,Amistad Academy District,https://www.greatschools.org/connecticut/new-haven/amistad-academy-district/,55%,50%,13%,51%,,98%,14.0,73%,"$52,216","$11,585","$12,057",44%,"1,081",91%,60%,2%
182,Deep River School District,https://www.greatschools.org/connecticut/deep-river/deep-river-school-district/,75%,75%,,,,29%,10.0,100%,,"$21,905","$20,740",54%,275,75%,,59%
183,Common Ground High School District,https://www.greatschools.org/connecticut/new-haven/common-ground-high-school-dis/,73%,73%,18%,,,58%,9.0,100%,"$56,695","$51,919","$17,274",12%,202,67%,19%,23%
184,Naugatuck School District,https://www.greatschools.org/connecticut/naugatuck/naugatuck-school-district/,55%,49%,2%,4%,17%,46%,14.0,89%,"$80,968","$19,420","$18,553",56%,"4,235",64%,14%,46%
185,Milford School District,https://www.greatschools.org/connecticut/milford/milford-school-district/,68%,61%,7%,8%,35%,18%,11.0,90%,"$80,478","$22,793","$20,787",63%,"5,749",75%,39%,70%
186,Unified School District #3,https://www.greatschools.org/connecticut/hartford/unified-school-district-%233/,,,,,,,,,,,,,K-2,,,
187,Area Cooperative Educational,https://www.greatschools.org/connecticut/north-haven/area-cooperative-educational/,42%,32%,<1%,<1%,<1%,39%,10.0,100%,"$69,796",,,,"1,942",32%,<1%,
188,Windsor School District,https://www.greatschools.org/connecticut/windsor/windsor-school-district/,44%,44%,8%,9%,5%,36%,10.0,63%,"$63,636","$26,186","$23,338",51%,"3,241",69%,25%,69%
189,Hartford School District,https://www.greatschools.org/connecticut/hartford/hartford-school-district/,25%,18%,2%,1%,6%,72%,13.0,84%,"$81,578","$25,257","$20,118",45%,"19,563",61%,8%,18%
190,Path Academy District,https://www.greatschools.org/connecticut/windham/path-academy-district/,,,<1%,,,97%,15.0,70%,"$44,345","$13,713","$12,503",35%,174,9%,<1%,12%
191,Cooperative Educational Servi,https://www.greatschools.org/connecticut/trumbull/cooperative-educational-servi/,34%,34%,<1%,<1%,,15%,6.0,89%,"$61,250",,,,834,34%,<1%,
192,Middletown School District,https://www.greatschools.org/connecticut/middletown/middletown-school-district/,51%,41%,<1%,1%,,43%,11.0,82%,"$65,985","$23,975","$19,862",52%,"4,528",68%,21%,58%
193,Elm City College Preparatory,https://www.greatschools.org/connecticut/new-haven/elm-city-college-preparatory/,55%,55%,10%,53%,,98%,12.0,89%,"$46,774","$18,277","$14,717",38%,752,86%,59%,34%
194,Region 06,https://www.greatschools.org/connecticut/litchfield/regional-school-district-06/,67%,67%,4%,11%,33%,10%,10.0,94%,"$66,772","$21,776","$20,661",54%,918,68%,17%,79%
195,Woodstock Academy,https://www.greatschools.org/connecticut/woodstock/woodstock-academy/,50%,50%,13%,,,1%,12.0,89%,,$5,"$4,831",100%,"1,087",74%,21%,100%
196,New Fairfield School District,https://www.greatschools.org/connecticut/new-fairfield/new-fairfield-school-district/,73%,67%,3%,15%,26%,8%,11.0,93%,"$74,853","$18,882","$17,316",59%,"2,300",83%,29%,77%
197,Barkhamsted School District,https://www.greatschools.org/connecticut/barkhamsted/barkhamsted-school-district/,58%,58%,,,,,12.0,100%,,"$22,318","$17,815",51%,248,58%,,57%
198,Danbury School District,https://www.greatschools.org/connecticut/danbury/danbury-school-district/,46%,38%,7%,6%,17%,58%,15.0,80%,"$74,486","$15,175","$14,246",65%,"11,462",67%,20%,58%
199,Berlin School District,https://www.greatschools.org/connecticut/berlin/berlin-school-district/,65%,62%,3%,9%,19%,15%,11.0,89%,,"$23,725","$18,691",46%,"2,781",85%,30%,64%
200,Region 09,https://www.greatschools.org/connecticut/monroe/regional-school-district-09/,73%,73%,19%,,,3%,11.0,98%,"$112,058","$27,624","$23,217",63%,893,81%,26%,85%
201,Canaan School District,https://www.greatschools.org/connecticut/canaan/canaan-school-district/,70%,44%,,,,15%,7.0,90%,"$74,764","$37,013","$35,171",56%,71,44%,,79%
202,Explorations District,https://www.greatschools.org/connecticut/winchester/explorations-district/,,,<1%,,,42%,8.0,100%,,"$19,239","$15,348",39%,96,46%,<1%,29%
203,Weston School District,https://www.greatschools.org/connecticut/weston/weston-school-district/,75%,75%,14%,17%,28%,2%,12.0,98%,"$80,105","$26,975","$23,320",49%,"2,329",93%,41%,85%
204,Region 16,https://www.greatschools.org/connecticut/prospect/regional-school-district-16/,62%,62%,7%,9%,,15%,13.0,87%,"$63,005","$21,526","$17,742",48%,"2,188",75%,23%,58%
